0,5,4,5,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000
5,0,5,1000000000000,5,1000000000000,5,1000000000000,1000000000000,1000000000000
4,5,0,5,2,1,1000000000000,1000000000000,1000000000000,1000000000000
5,1000000000000,5,0,1000000000000,3,1000000000000,1000000000000,4,1000000000000
1000000000000,5,2,1000000000000,0,1,5,1,1000000000000,1000000000000
1000000000000,1000000000000,1,3,1,0,1000000000000,4,2,1000000000000
1000000000000,5,1000000000000,1000000000000,5,1000000000000,0,3,1000000000000,4
1000000000000,1000000000000,1000000000000,1000000000000,1,4,3,0,5,5
1000000000000,1000000000000,1000000000000,4,1000000000000,2,1000000000000,5,0,3
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,4,5,3,0
